date;CDU/CSU;SPD;GRÜNE;FDP;LINKE;AfD;Sonstige;Befragte;Zeitraum;Institut
10.11.2018;25 %;15 %;22 %;8 %;9 %;15 %;6 %;1.518;05.11.–07.11.;emnid
03.11.2018;25 %;14 %;21 %;9 %;10 %;15 %;6 %;1.815;25.10.–31.10.;emnid
27.10.2018;24 %;15 %;20 %;10 %;10 %;16 %;5 %;1.905;18.10.–24.10.;emnid
20.10.2018;25 %;15 %;19 %;10 %;10 %;15 %;6 %;1.609;11.10.–17.10.;emnid
13.10.2018;26 %;17 %;17 %;9 %;11 %;15 %;5 %;1.899;04.10.–10.10.;emnid
06.10.2018;27 %;17 %;16 %;9 %;10 %;16 %;5 %;1.515;27.09.–02.10.;emnid
29.09.2018;27 %;16 %;15 %;10 %;11 %;17 %;4 %;1.902;20.09.–26.09.;emnid
22.09.2018;28 %;17 %;14 %;9 %;11 %;16 %;5 %;2.368;13.09.–19.09.;emnid
15.09.2018;30 %;18 %;13 %;9 %;10 %;15 %;5 %;1.978;06.09.–12.09.;emnid
08.09.2018;29 %;17 %;14 %;9 %;10 %;15 %;6 %;2.472;30.08.–05.09.;emnid
01.09.2018;30 %;19 %;14 %;9 %;9 %;15 %;4 %;2.390;23.08.–29.08.;emnid
25.08.2018;30 %;18 %;15 %;9 %;9 %;14 %;5 %;1.891;16.08.–22.08.;emnid
18.08.2018;30 %;17 %;15 %;9 %;9 %;15 %;5 %;2.942;09.08.–15.08.;emnid
11.08.2018;31 %;17 %;15 %;8 %;10 %;14 %;5 %;2.502;02.08.–08.08.;emnid
04.08.2018;30 %;18 %;15 %;8 %;9 %;15 %;5 %;2.478;26.07.–01.08.;emnid
28.07.2018;29 %;18 %;14 %;9 %;10 %;15 %;5 %;2.001;19.07.–25.07.;emnid
21.07.2018;30 %;19 %;12 %;9 %;10 %;15 %;5 %;2.476;12.07.–18.07.;emnid
14.07.2018;30 %;18 %;12 %;9 %;10 %;16 %;5 %;2.368;05.07.–11.07.;emnid
07.07.2018;30 %;17 %;12 %;9 %;9 %;17 %;6 %;1.894;28.06.–04.07.;emnid
30.06.2018;32 %;19 %;12 %;9 %;9 %;14 %;5 %;1.954;21.06.–28.06.;emnid
23.06.2018;31 %;18 %;12 %;9 %;10 %;16 %;4 %;2.336;14.06.–20.06.;emnid
16.06.2018;33 %;18 %;11 %;8 %;11 %;15 %;4 %;2.310;07.06.–13.06.;emnid
09.06.2018;32 %;19 %;12 %;8 %;11 %;14 %;4 %;1.950;30.05.–06.06.;emnid
02.06.2018;32 %;18 %;13 %;7 %;11 %;15 %;4 %;1.397;24.05.–29.05.;emnid
26.05.2018;33 %;17 %;13 %;8 %;11 %;14 %;4 %;1.946;17.05.–23.05.;emnid
19.05.2018;33 %;17 %;13 %;9 %;10 %;14 %;4 %;2.030;09.05.–16.05.;emnid
12.05.2018;33 %;17 %;12 %;9 %;10 %;14 %;5 %;1.489;03.05.–08.05.;emnid
05.05.2018;34 %;17 %;12 %;8 %;10 %;14 %;5 %;1.507;26.04.–02.05.;emnid
28.04.2018;32 %;18 %;12 %;9 %;11 %;14 %;4 %;2.350;19.04.–25.04.;emnid
21.04.2018;33 %;18 %;12 %;9 %;11 %;13 %;4 %;2.437;12.04.–18.04.;emnid
14.04.2018;33 %;18 %;11 %;9 %;11 %;14 %;4 %;1.786;05.04.–11.04.;emnid
07.04.2018;34 %;17 %;12 %;8 %;11 %;13 %;5 %;1.414;29.03.–05.04.;emnid
31.03.2018;34 %;18 %;12 %;8 %;11 %;12 %;5 %;1.982;22.03.–28.03.;emnid
24.03.2018;34 %;18 %;12 %;9 %;10 %;13 %;4 %;1.972;15.03.–21.03.;emnid
17.03.2018;33 %;19 %;11 %;9 %;10 %;14 %;4 %;1.959;08.03.–14.03.;emnid
10.03.2018;33 %;19 %;12 %;8 %;10 %;13 %;5 %;1.869;01.03.–07.03.;emnid
03.03.2018;33 %;16 %;12 %;9 %;11 %;15 %;4 %;1.890;22.02.–28.02.;emnid
24.02.2018;33 %;17 %;11 %;10 %;11 %;15 %;3 %;1.985;15.02.–21.02.;emnid
17.02.2018;33 %;19 %;11 %;9 %;10 %;14 %;4 %;1.478;08.02.–14.02.;emnid
10.02.2018;34 %;20 %;11 %;9 %;9 %;12 %;5 %;1.226;01.02.–07.02.;emnid
03.02.2018;33 %;20 %;11 %;9 %;10 %;13 %;4 %;1.247;25.01.–31.01.;emnid
27.01.2018;34 %;20 %;11 %;8 %;10 %;12 %;5 %;1.513;18.01.–24.01.;emnid
20.01.2018;33 %;21 %;10 %;8 %;10 %;13 %;5 %;1.419;11.01.–17.01.;emnid
13.01.2018;34 %;21 %;11 %;8 %;9 %;13 %;4 %;1.899;04.01.–10.01.;emnid
06.01.2018;33 %;20 %;12 %;9 %;9 %;12 %;5 %;1.440;21.12.–03.01.;emnid
23.12.2017;33 %;21 %;11 %;8 %;10 %;12 %;5 %;1.861;14.12.–20.12.;emnid
16.12.2017;32 %;22 %;11 %;8 %;9 %;13 %;5 %;1.865;07.12.–13.12.;emnid
09.12.2017;33 %;21 %;11 %;9 %;10 %;12 %;4 %;1.880;30.11.–06.12.;emnid
02.12.2017;33 %;21 %;10 %;9 %;10 %;12 %;5 %;1.888;23.11.–29.11.;emnid
25.11.2017;33 %;22 %;10 %;9 %;10 %;11 %;5 %;1.225;20.11.–23.11.;emnid
18.11.2017;31 %;21 %;11 %;10 %;9 %;13 %;5 %;1.842;09.11.–15.11.;emnid
11.11.2017;30 %;22 %;10 %;11 %;10 %;13 %;4 %;1.392;02.11.–08.11.;emnid
04.11.2017;31 %;21 %;11 %;10 %;10 %;12 %;5 %;1.476;26.10.–30.10.;emnid
28.10.2017;31 %;22 %;10 %;11 %;9 %;12 %;5 %;2.296;19.10.–25.10.;emnid
21.10.2017;32 %;21 %;10 %;11 %;9 %;12 %;5 %;2.304;12.10.–18.10.;emnid
14.10.2017;31 %;21 %;10 %;11 %;10 %;12 %;5 %;1.960;05.10.–11.10.;emnid
07.10.2017;32 %;22 %;9 %;10 %;10 %;12 %;5 %;1.490;28.09.–04.10.;emnid
30.09.2017;33 %;21 %;10 %;11 %;10 %;12 %;3 %;1.038;25.09.–27.09.;emnid
22.09.2017;35 %;22 %;8 %;9 %;10 %;11 %;5 %;1.994;14.09.–21.09.;emnid
16.09.2017;36 %;22 %;8 %;9 %;10 %;11 %;4 %;1.888;07.09.–13.09.;emnid
09.09.2017;37 %;24 %;8 %;8 %;9 %;9 %;5 %;1.869;31.08.–06.09.;emnid
02.09.2017;38 %;24 %;8 %;8 %;9 %;8 %;5 %;1.889;24.08.–30.08.;emnid
26.08.2017;38 %;23 %;7 %;9 %;9 %;8 %;6 %;1.979;17.08.–23.08.;emnid
19.08.2017;39 %;24 %;8 %;8 %;9 %;7 %;5 %;1.426;10.08.–16.08.;emnid
12.08.2017;38 %;24 %;7 %;8 %;10 %;8 %;5 %;1.886;03.08.–09.08.;emnid
05.08.2017;38 %;23 %;8 %;8 %;10 %;8 %;5 %;2.453;27.07.–02.08.;emnid
29.07.2017;38 %;24 %;8 %;8 %;9 %;9 %;4 %;1.921;20.07.–26.07.;emnid
22.07.2017;38 %;25 %;8 %;8 %;9 %;8 %;4 %;2.349;13.07.–19.07.;emnid
15.07.2017;38 %;25 %;8 %;7 %;9 %;8 %;5 %;1.263;06.07.–12.07.;emnid
08.07.2017;38 %;25 %;8 %;8 %;9 %;7 %;5 %;1.878;30.06.–05.07.;emnid
01.07.2017;39 %;24 %;8 %;8 %;9 %;7 %;5 %;936;22.06.–24.06.;emnid
24.06.2017;39 %;24 %;8 %;7 %;9 %;8 %;5 %;1.363;16.06.–21.06.;emnid
17.06.2017;39 %;25 %;7 %;7 %;9 %;8 %;5 %;2.054;08.06.–13.06.;emnid
10.06.2017;39 %;25 %;8 %;7 %;9 %;8 %;4 %;1.398;01.06.–07.06.;emnid
03.06.2017;38 %;27 %;7 %;7 %;8 %;8 %;5 %;1.838;24.05.–31.05.;emnid
27.05.2017;38 %;25 %;8 %;8 %;8 %;8 %;5 %;1.703;18.05.–23.05.;emnid
20.05.2017;38 %;26 %;7 %;7 %;9 %;8 %;5 %;2.413;11.05.–17.05.;emnid
13.05.2017;37 %;27 %;8 %;6 %;10 %;8 %;4 %;1.837;04.05.–10.05.;emnid
06.05.2017;36 %;28 %;7 %;6 %;9 %;9 %;5 %;1.935;27.04.–03.05.;emnid
29.04.2017;36 %;29 %;7 %;6 %;9 %;9 %;4 %;2.439;20.04.–26.04.;emnid
22.04.2017;36 %;31 %;6 %;5 %;9 %;9 %;4 %;1.412;13.04.–19.04.;emnid
15.04.2017;35 %;31 %;7 %;6 %;9 %;9 %;3 %;2.436;06.04.–12.04.;emnid
08.04.2017;35 %;33 %;7 %;5 %;8 %;9 %;3 %;1.958;30.03.–05.04.;emnid
01.04.2017;33 %;33 %;7 %;6 %;8 %;8 %;5 %;2.416;23.03.–29.03.;emnid
25.03.2017;33 %;33 %;8 %;5 %;8 %;9 %;4 %;2.450;16.03.–22.03.;emnid
18.03.2017;33 %;32 %;8 %;5 %;8 %;9 %;5 %;1.832;09.03.–15.03.;emnid
11.03.2017;33 %;33 %;7 %;6 %;8 %;8 %;5 %;1.882;02.03.–08.03.;emnid
04.03.2017;33 %;32 %;7 %;6 %;8 %;10 %;4 %;1.403;23.02.–01.03.;emnid
25.02.2017;32 %;32 %;7 %;7 %;8 %;9 %;5 %;1.880;16.02.–22.02.;emnid
18.02.2017;32 %;33 %;7 %;6 %;8 %;9 %;5 %;1.885;09.02.–15.02.;emnid
11.02.2017;33 %;32 %;7 %;6 %;8 %;10 %;4 %;1.966;02.02.–08.02.;emnid
04.02.2017;33 %;29 %;8 %;6 %;8 %;11 %;5 %;2.233;26.01.–02.02.;emnid
28.01.2017;37 %;23 %;10 %;6 %;10 %;11 %;3 %;1.996;19.01.–25.01.;emnid
21.01.2017;36 %;21 %;9 %;6 %;11 %;12 %;5 %;2.805;12.01.–18.01.;emnid
14.01.2017;37 %;21 %;10 %;6 %;10 %;12 %;4 %;1.878;06.01.–11.01.;emnid
07.01.2017;38 %;22 %;10 %;5 %;9 %;12 %;4 %;834;03.01.–05.01.;emnid
24.12.2016;36 %;21 %;10 %;6 %;10 %;13 %;4 %;2.326;15.12.–21.12.;emnid
17.12.2016;36 %;22 %;11 %;5 %;10 %;12 %;4 %;2.411;08.12.–14.12.;emnid
10.12.2016;36 %;22 %;10 %;5 %;10 %;13 %;4 %;2.426;01.12.–07.12.;emnid
03.12.2016;37 %;22 %;11 %;5 %;10 %;12 %;3 %;2.658;24.11.–30.11.;emnid
26.11.2016;35 %;23 %;11 %;5 %;9 %;12 %;5 %;2.426;17.11.–23.11.;emnid
19.11.2016;33 %;24 %;12 %;5 %;9 %;13 %;4 %;2.859;10.11.–16.11.;emnid
12.11.2016;34 %;23 %;11 %;5 %;10 %;12 %;5 %;2.782;03.11.–09.11.;emnid
05.11.2016;34 %;22 %;11 %;5 %;10 %;12 %;6 %;1.678;27.10.–02.11.;emnid
29.10.2016;34 %;23 %;11 %;5 %;10 %;12 %;5 %;1.840;20.10.–26.10.;emnid
22.10.2016;33 %;23 %;11 %;5 %;10 %;13 %;5 %;1.961;13.10.–19.10.;emnid
15.10.2016;32 %;24 %;11 %;6 %;9 %;13 %;5 %;2.827;06.10.–12.10.;emnid
08.10.2016;32 %;23 %;12 %;6 %;10 %;12 %;5 %;1.866;29.09.–05.10.;emnid
01.10.2016;32 %;23 %;11 %;7 %;10 %;12 %;5 %;1.939;22.09.–28.09.;emnid
24.09.2016;32 %;23 %;11 %;6 %;9 %;14 %;5 %;2.798;15.09.–21.09.;emnid
17.09.2016;32 %;24 %;11 %;5 %;9 %;14 %;5 %;2.780;08.09.–14.09.;emnid
10.09.2016;33 %;23 %;11 %;6 %;9 %;13 %;5 %;2.423;01.09.–07.09.;emnid
03.09.2016;34 %;23 %;11 %;6 %;9 %;12 %;5 %;1.966;25.08.–31.08.;emnid
27.08.2016;34 %;22 %;12 %;5 %;10 %;11 %;6 %;1.981;18.08.–24.08.;emnid
20.08.2016;34 %;23 %;13 %;5 %;9 %;10 %;6 %;2.358;11.08.–17.08.;emnid
13.08.2016;34 %;22 %;12 %;6 %;10 %;11 %;5 %;2.352;04.08.–10.08.;emnid
06.08.2016;34 %;22 %;12 %;6 %;10 %;11 %;5 %;2.815;28.07.–03.08.;emnid
30.07.2016;35 %;23 %;11 %;5 %;9 %;12 %;5 %;2.815;21.07.–27.07.;emnid
23.07.2016;35 %;23 %;12 %;5 %;10 %;10 %;5 %;1.870;14.07.–20.07.;emnid
16.07.2016;35 %;24 %;12 %;5 %;9 %;10 %;5 %;1.973;07.07.–13.07.;emnid
09.07.2016;35 %;23 %;13 %;5 %;9 %;10 %;5 %;1.402;02.07.–06.07.;emnid
02.07.2016;33 %;23 %;12 %;6 %;10 %;11 %;5 %;1.936;23.06.–29.06.;emnid
25.06.2016;32 %;23 %;13 %;6 %;9 %;12 %;5 %;1.905;16.06.–22.06.;emnid
18.06.2016;33 %;22 %;13 %;6 %;9 %;12 %;5 %;2.744;09.06.–15.06.;emnid
11.06.2016;34 %;21 %;14 %;6 %;9 %;11 %;5 %;1.838;02.06.–08.06.;emnid
04.06.2016;33 %;22 %;13 %;6 %;9 %;12 %;5 %;1.851;25.05.–01.06.;emnid
28.05.2016;33 %;21 %;12 %;6 %;9 %;14 %;5 %;2.881;19.05.–24.05.;emnid
21.05.2016;32 %;22 %;12 %;6 %;9 %;13 %;6 %;1.485;13.05.–18.05.;emnid
14.05.2016;33 %;23 %;13 %;5 %;9 %;13 %;4 %;1.922;06.05.–11.05.;emnid
07.05.2016;32 %;22 %;12 %;6 %;9 %;14 %;5 %;1.838;28.04.–03.05.;emnid
30.04.2016;33 %;22 %;12 %;6 %;9 %;13 %;5 %;2.805;21.04.–27.04.;emnid
23.04.2016;33 %;22 %;13 %;6 %;9 %;12 %;5 %;2.393;14.04.–20.04.;emnid
16.04.2016;33 %;22 %;13 %;7 %;9 %;11 %;5 %;1.941;07.04.–13.04.;emnid
09.04.2016;34 %;22 %;13 %;7 %;8 %;12 %;4 %;2.240;31.03.–06.04.;emnid
02.04.2016;33 %;22 %;13 %;6 %;8 %;13 %;5 %;1.405;24.03.–30.03.;emnid
26.03.2016;34 %;22 %;13 %;6 %;9 %;12 %;4 %;2.828;17.03.–23.03.;emnid
19.03.2016;34 %;22 %;13 %;6 %;9 %;13 %;3 %;2.424;10.03.–16.03.;emnid
12.03.2016;36 %;24 %;11 %;5 %;9 %;11 %;4 %;2.340;03.03.–09.03.;emnid
05.03.2016;35 %;24 %;10 %;5 %;10 %;11 %;5 %;1.869;25.02.–02.03.;emnid
27.02.2016;36 %;24 %;10 %;5 %;9 %;11 %;5 %;1.978;18.02.–24.02.;emnid
20.02.2016;35 %;24 %;10 %;4 %;10 %;12 %;5 %;2.409;11.02.–17.02.;emnid
13.02.2016;35 %;24 %;9 %;5 %;9 %;12 %;6 %;2.090;04.02.–10.02.;emnid
06.02.2016;35 %;24 %;9 %;4 %;10 %;12 %;6 %;2.306;28.01.–03.02.;emnid
30.01.2016;34 %;24 %;9 %;5 %;10 %;12 %;6 %;1.638;21.01.–27.01.;emnid
23.01.2016;36 %;25 %;9 %;5 %;9 %;10 %;6 %;1.875;14.01.–20.01.;emnid
16.01.2016;38 %;24 %;10 %;5 %;9 %;9 %;5 %;2.016;07.01.–13.01.;emnid
09.01.2016;39 %;23 %;10 %;4 %;10 %;8 %;6 %;940;05.01.–06.01.;emnid
26.12.2015;39 %;24 %;9 %;4 %;10 %;9 %;5 %;1.832;17.12.–22.12.;emnid
19.12.2015;38 %;25 %;9 %;5 %;9 %;8 %;6 %;2.821;10.12.–16.12.;emnid
12.12.2015;37 %;26 %;9 %;4 %;10 %;8 %;6 %;2.321;03.12.–09.12.;emnid
05.12.2015;37 %;25 %;10 %;4 %;10 %;8 %;6 %;2.352;26.11.–02.12.;emnid
28.11.2015;38 %;25 %;10 %;4 %;10 %;8 %;5 %;2.356;19.11.–25.11.;emnid
21.11.2015;37 %;26 %;9 %;5 %;9 %;7 %;7 %;2.319;12.11.–18.11.;emnid
14.11.2015;37 %;25 %;10 %;5 %;9 %;8 %;6 %;2.412;05.11.–11.11.;emnid
07.11.2015;36 %;26 %;10 %;4 %;9 %;9 %;6 %;2.442;29.10.–04.11.;emnid
31.10.2015;36 %;25 %;10 %;5 %;10 %;8 %;6 %;1.869;22.10.–28.10.;emnid
24.10.2015;36 %;26 %;10 %;5 %;10 %;7 %;6 %;2.312;15.10.–21.10.;emnid
17.10.2015;37 %;26 %;9 %;5 %;10 %;7 %;6 %;1.496;08.10.–14.10.;emnid
10.10.2015;38 %;25 %;9 %;5 %;10 %;6 %;7 %;1.871;01.10.–07.10.;emnid
03.10.2015;40 %;25 %;9 %;4 %;10 %;5 %;7 %;2.329;24.09.–30.09.;emnid
26.09.2015;40 %;25 %;10 %;4 %;10 %;6 %;5 %;1.956;17.09.–23.09.;emnid
19.09.2015;40 %;24 %;10 %;5 %;9 %;5 %;7 %;1.882;10.09.–16.09.;emnid
12.09.2015;41 %;25 %;11 %;4 %;10 %;4 %;5 %;2.332;03.09.–09.09.;emnid
05.09.2015;41 %;24 %;11 %;4 %;10 %;4 %;6 %;2.800;27.08.–02.09.;emnid
29.08.2015;41 %;24 %;10 %;4 %;10 %;4 %;7 %;2.311;20.08.–26.08.;emnid
22.08.2015;42 %;24 %;10 %;4 %;10 %;4 %;6 %;2.311;13.08.–19.08.;emnid
16.08.2015;43 %;24 %;11 %;4 %;10 %;3 %;5 %;2.436;06.08.–12.08.;emnid
08.08.2015;43 %;24 %;10 %;4 %;10 %;4 %;5 %;1.858;30.07.–05.08.;emnid
01.08.2015;43 %;24 %;10 %;4 %;9 %;3 %;7 %;1.860;23.07.–29.07.;emnid
25.07.2015;43 %;24 %;10 %;4 %;10 %;3 %;6 %;1.471;16.07.–22.07.;emnid
18.07.2015;43 %;25 %;11 %;4 %;9 %;4 %;4 %;1.942;09.07.–15.07.;emnid
12.07.2015;42 %;26 %;10 %;4 %;10 %;3 %;5 %;1.842;02.07.–08.07.;emnid
04.07.2015;40 %;24 %;11 %;4 %;10 %;5 %;6 %;2.247;25.06.–01.07.;emnid
27.06.2015;41 %;24 %;10 %;4 %;10 %;5 %;6 %;2.746;18.06.–24.06.;emnid
20.06.2015;40 %;25 %;10 %;5 %;9 %;5 %;6 %;2.716;11.06.–17.06.;emnid
13.06.2015;40 %;25 %;10 %;5 %;9 %;5 %;6 %;2.277;03.06.–10.06.;emnid
06.06.2015;40 %;25 %;10 %;5 %;10 %;5 %;5 %;1.467;28.05.–02.06.;emnid
30.05.2015;40 %;25 %;10 %;6 %;9 %;5 %;5 %;1.816;21.05.–27.05.;emnid
23.05.2015;40 %;26 %;9 %;5 %;9 %;5 %;6 %;2.302;15.05.–20.05.;emnid
16.05.2015;40 %;25 %;10 %;4 %;9 %;5 %;7 %;1.941;07.05.–12.05.;emnid
09.05.2015;40 %;25 %;10 %;3 %;10 %;6 %;6 %;1.848;02.05.–06.05.;emnid
03.05.2015;41 %;25 %;10 %;3 %;9 %;6 %;6 %;3.631;23.04.–29.04.;emnid
25.04.2015;41 %;25 %;10 %;4 %;8 %;6 %;6 %;3.210;16.04.–22.04.;emnid
18.04.2015;41 %;25 %;10 %;4 %;9 %;6 %;5 %;2.326;09.04.–15.04.;emnid
11.04.2015;41 %;25 %;10 %;4 %;9 %;5 %;6 %;1.404;02.04.–08.04.;emnid
04.04.2015;42 %;25 %;9 %;4 %;9 %;5 %;6 %;2.299;26.03.–01.04.;emnid
28.03.2015;42 %;25 %;9 %;5 %;8 %;6 %;5 %;1.854;19.03.–25.03.;emnid
21.03.2015;41 %;24 %;10 %;4 %;9 %;6 %;6 %;1.006;12.03.–17.03.;emnid
14.03.2015;41 %;24 %;11 %;4 %;9 %;6 %;5 %;1.925;05.03.–11.03.;emnid
07.03.2015;40 %;25 %;10 %;4 %;9 %;7 %;5 %;2.318;26.02.–04.03.;emnid
28.02.2015;41 %;25 %;9 %;4 %;9 %;6 %;6 %;2.307;19.02.–25.02.;emnid
21.02.2015;41 %;26 %;9 %;4 %;9 %;6 %;5 %;2.337;12.02.–18.02.;emnid
14.02.2015;41 %;25 %;10 %;4 %;10 %;6 %;4 %;1.947;05.02.–11.02.;emnid
07.02.2015;40 %;26 %;10 %;3 %;10 %;5 %;6 %;1.859;29.01.–04.02.;emnid
31.01.2015;40 %;25 %;10 %;3 %;10 %;6 %;6 %;1.889;22.01.–28.01.;emnid
24.01.2015;41 %;25 %;10 %;4 %;9 %;6 %;5 %;1.850;15.01.–21.01.;emnid
17.01.2015;42 %;24 %;9 %;4 %;9 %;7 %;5 %;3.243;08.01.–14.01.;emnid
10.01.2015;43 %;24 %;9 %;3 %;9 %;7 %;5 %;2.864;18.12.–07.01.;emnid
20.12.2014;42 %;25 %;9 %;2 %;9 %;7 %;6 %;2.755;11.12.–17.12.;emnid
14.12.2014;41 %;25 %;10 %;3 %;9 %;6 %;6 %;2.764;04.12.–10.12.;emnid
07.12.2014;41 %;26 %;10 %;3 %;9 %;6 %;5 %;2.789;27.11.–03.12.;emnid
30.11.2014;41 %;25 %;10 %;3 %;9 %;7 %;5 %;2.307;20.11.–26.11.;emnid
22.11.2014;42 %;25 %;10 %;3 %;8 %;6 %;6 %;2.331;13.11.–19.11.;emnid
16.11.2014;41 %;24 %;10 %;3 %;9 %;7 %;6 %;2.313;06.11.–12.11.;emnid
09.11.2014;41 %;25 %;9 %;2 %;9 %;7 %;7 %;2.333;30.10.–05.11.;emnid
02.11.2014;41 %;25 %;9 %;3 %;9 %;7 %;6 %;2.312;23.10.–29.10.;emnid
26.10.2014;41 %;25 %;9 %;3 %;9 %;6 %;7 %;2.309;16.10.–22.10.;emnid
