date;CDU/CSU;SPD;GRÜNE;FDP;LINKE;PIRATEN;FW;AfD;Sonstige;Befragte;Zeitraum;Institut
20.08.2019;26,5 %;13 %;24,5 %;9 %;8 %;–;–;14,5 %;4,5 %;O • 2.056;16.08.–19.08.;insa
13.08.2019;27,5 %;12 %;23,5 %;9 %;8 %;–;–;14,5 %;5,5 %;O • 2.060;09.08.–11.08.;insa
05.08.2019;27,5 %;11,5 %;23,5 %;9 %;9 %;–;–;15 %;4,5 %;O • 2.049;02.08.–05.08.;insa
30.07.2019;27 %;12,5 %;24,5 %;9 %;8 %;–;–;14,5 %;4,5 %;O • 2.036;26.07.–29.07.;insa
22.07.2019;28,5 %;12,5 %;22,5 %;8 %;8 %;–;–;14,5 %;6 %;O • 2.081;19.07.–22.07.;insa
15.07.2019;26 %;14 %;23 %;9 %;9 %;–;–;14 %;5 %;O • 2.043;12.07.–15.07.;insa
09.07.2019;27 %;13,5 %;24 %;8 %;8,5 %;–;–;14 %;5 %;O • 2.069;05.07.–08.07.;insa
01.07.2019;27 %;13 %;24 %;8 %;8 %;–;–;14 %;6 %;O • 2.053;28.06.–01.07.;insa
25.06.2019;25,5 %;12,5 %;25,5 %;8,5 %;9 %;–;–;13,5 %;5,5 %;O • 2.078;21.06.–24.06.;insa
18.06.2019;25 %;13 %;25 %;9 %;9 %;–;–;13,5 %;5,5 %;O • 2.060;14.06.–17.06.;insa
11.06.2019;24 %;13 %;26,5 %;9 %;7,5 %;–;–;13,5 %;6,5 %;O • 2.074;07.06.–10.06.;insa
03.06.2019;26 %;14 %;25 %;8 %;8 %;–;–;13 %;6 %;O • 1.000;03.06.;insa
28.05.2019;27,5 %;15,5 %;19 %;9,5 %;9 %;–;–;13,5 %;6 %;O • 2.039;24.05.–27.05.;insa
21.05.2019;28 %;15,5 %;18,5 %;10 %;9 %;–;–;14 %;5 %;O • 2.074;17.05.–20.05.;insa
13.05.2019;28,5 %;16 %;19 %;9,5 %;9 %;–;–;14 %;4 %;O • 2.044;10.05.–13.05.;insa
07.05.2019;28,5 %;16 %;20 %;9 %;8,5 %;–;–;14 %;4 %;O • 2.089;03.05.–06.05.;insa
29.04.2019;28 %;16 %;19 %;10 %;9 %;–;–;14 %;4 %;O • 2.005;26.04.–29.04.;insa
23.04.2019;30 %;16 %;17 %;10 %;10 %;–;–;14 %;3 %;O • 1.005;18.04.–21.04.;insa
15.04.2019;30,5 %;15,5 %;18 %;9 %;9 %;–;–;14 %;4 %;O • 2.013;12.04.–15.04.;insa
09.04.2019;29 %;15,5 %;19 %;10 %;8,5 %;–;–;14 %;4 %;O • 2.040;05.04.–08.04.;insa
01.04.2019;29,5 %;16,5 %;17,5 %;10 %;8,5 %;–;–;13,5 %;4,5 %;O • 4.000;28.03.–01.04.;insa
26.03.2019;30,5 %;15,5 %;17,5 %;9 %;9 %;–;–;13,5 %;5 %;O • 2.012;22.03.–25.03.;insa
18.03.2019;29,5 %;16 %;17,5 %;9 %;9 %;–;–;14,5 %;4,5 %;O • 2.030;15.03.–18.03.;insa
12.03.2019;30,5 %;15 %;17,5 %;10 %;9 %;–;–;14,5 %;3,5 %;O • 2.005;08.03.–11.03.;insa
03.03.2019;29 %;17 %;15,5 %;10 %;10 %;–;–;14,5 %;4 %;O • 4.000;27.02.–01.03.;insa
26.02.2019;29,5 %;18 %;15,5 %;9,5 %;9 %;–;–;14 %;4,5 %;O • 2.048;22.02.–25.02.;insa
18.02.2019;30 %;18 %;15 %;9 %;9,5 %;–;–;14 %;4,5 %;O • 2.046;15.02.–18.02.;insa
11.02.2019;29,5 %;15,5 %;18,5 %;8,5 %;10,5 %;–;–;14 %;3,5 %;O • 2.051;08.02.–11.02.;insa
05.02.2019;30 %;14,5 %;18,5 %;8,5 %;10,5 %;–;–;14 %;4 %;O • 2.034;01.02.–04.02.;insa
28.01.2019;30 %;15 %;18 %;9 %;10 %;–;–;14 %;4 %;O • 2.056;25.01.–28.01.;insa
21.01.2019;31 %;13,5 %;19,5 %;9,5 %;9,5 %;–;–;13 %;4 %;O • 2.044;18.01.–21.01.;insa
14.01.2019;29 %;14,5 %;18 %;9,5 %;10,5 %;–;–;14,5 %;4 %;O • 2.028;11.01.–14.01.;insa
08.01.2019;30 %;15 %;17 %;10 %;10 %;–;–;15 %;3 %;O • 2.056;05.01.–07.01.;insa
04.01.2019;29 %;15 %;18 %;10 %;10 %;–;–;14 %;4 %;O • 1.026;02.01.–03.01.;insa
22.12.2018;29 %;14 %;19 %;9 %;9 %;–;–;15 %;5 %;O • 1.029;20.12.–21.12.;insa
18.12.2018;29 %;15 %;18 %;9,5 %;9,5 %;–;–;15 %;4 %;O • 2.077;14.12.–17.12.;insa
10.12.2018;29 %;15 %;17 %;10 %;10 %;–;–;15 %;4 %;O • 2.047;08.12.–10.12.;insa
03.12.2018;27,5 %;13,5 %;18 %;9,5 %;11 %;–;–;16 %;4,5 %;O • 2.069;30.11.–03.12.;insa
26.11.2018;27,5 %;14 %;19 %;8,5 %;10 %;–;–;16 %;5 %;O • 2.062;23.11.–26.11.;insa
19.11.2018;25,5 %;14,5 %;20 %;9,5 %;10 %;–;–;15,5 %;5 %;O • 2.047;16.11.–19.11.;insa
12.11.2018;25,5 %;14 %;20 %;9 %;10 %;–;–;16,5 %;5 %;O • 2.070;09.11.–12.11.;insa
05.11.2018;24,5 %;13,5 %;19 %;10 %;11 %;–;–;16,5 %;5,5 %;O • 3.183;02.11.–05.11.;insa
29.10.2018;25 %;14 %;20 %;9,5 %;11 %;–;–;16,5 %;4 %;O • 2.052;26.10.–29.10.;insa
23.10.2018;26 %;15 %;19 %;9 %;10,5 %;–;–;17 %;3,5 %;O • 2.061;19.10.–22.10.;insa
16.10.2018;26,5 %;15 %;17 %;9,5 %;10,5 %;–;–;18 %;3,5 %;O • 2.061;12.10.–15.10.;insa
09.10.2018;26 %;16 %;15 %;10 %;11 %;–;–;18 %;4 %;O • 2.054;05.10.–08.10.;insa
01.10.2018;26 %;16 %;14,5 %;10 %;11,5 %;–;–;18,5 %;3,5 %;O • 2.041;28.09.–01.10.;insa
24.09.2018;27 %;16 %;14,5 %;10 %;11,5 %;–;–;18 %;3 %;O • 2.051;21.09.–24.09.;insa
21.09.2018;27,5 %;16,5 %;14,5 %;10 %;11 %;–;–;17,5 %;3 %;O • 1.040;19.09.;insa
17.09.2018;28,5 %;17 %;13 %;9 %;10,5 %;–;–;17,5 %;4,5 %;O • 2.054;14.09.–17.09.;insa
11.09.2018;28 %;17 %;13,5 %;9 %;10,5 %;–;–;17,5 %;4,5 %;O • 2.042;07.09.–10.09.;insa
03.09.2018;28,5 %;16 %;13,5 %;9,5 %;10 %;–;–;17 %;5,5 %;O • 2.069;31.08.–03.09.;insa
28.08.2018;28 %;16,5 %;13,5 %;10 %;10,5 %;–;–;16,5 %;5 %;O • 2.079;24.08.–27.08.;insa
21.08.2018;28 %;16,5 %;13,5 %;10 %;12 %;–;–;16 %;4 %;O • 3.129;16.08.–20.08.;insa
14.08.2018;29 %;17,5 %;12,5 %;9,5 %;11 %;–;–;17 %;3,5 %;O • 2.034;10.08.–13.08.;insa
07.08.2018;30 %;17 %;12,5 %;8,5 %;11 %;–;–;17 %;4 %;O • 2.096;03.08.–06.08.;insa
31.07.2018;29 %;18 %;12 %;9 %;10,5 %;–;–;17,5 %;4 %;O • 2.074;27.07.–30.07.;insa
24.07.2018;29 %;18 %;12 %;9 %;10,5 %;–;–;17,5 %;4 %;O • 2.056;20.07.–23.07.;insa
16.07.2018;29 %;17 %;13 %;9,5 %;10 %;–;–;17,5 %;4 %;O • 2.084;13.07.–16.07.;insa
09.07.2018;29 %;17 %;12 %;9,5 %;11 %;–;–;17,5 %;4 %;O • 2.061;06.07.–09.07.;insa
03.07.2018;29 %;19 %;12 %;9 %;11 %;–;–;16,5 %;3,5 %;O • 2.089;29.06.–02.07.;insa
26.06.2018;29 %;19,5 %;11 %;9 %;11 %;–;–;16 %;4,5 %;O • 2.036;22.06.–25.06.;insa
19.06.2018;29 %;19 %;11 %;8 %;12 %;–;–;16 %;5 %;O • 2.060;15.06.–18.06.;insa
12.06.2018;31 %;17 %;11 %;8 %;12 %;–;–;16 %;5 %;O • 2.038;08.06.–11.06.;insa
04.06.2018;32 %;17 %;11 %;8 %;11,5 %;–;–;16 %;4,5 %;O • 2.067;01.06.–04.06.;insa
29.05.2018;32 %;17 %;11,5 %;8 %;12 %;–;–;15,5 %;4 %;O • 2.062;25.05.–28.05.;insa
23.05.2018;32,5 %;16,5 %;11,5 %;8 %;11 %;–;–;15,5 %;5 %;O • 2.044;18.05.–22.05.;insa
14.05.2018;32,5 %;17 %;11,5 %;8 %;11 %;–;–;15,5 %;4,5 %;O • 2.098;11.05.–14.05.;insa
08.05.2018;32,5 %;17 %;11,5 %;8,5 %;10,5 %;–;–;15,5 %;4,5 %;O • 2.065;04.05.–07.05.;insa
30.04.2018;33 %;17 %;11,5 %;9 %;10,5 %;–;–;15,5 %;3,5 %;O • 2.097;27.04.–30.04.;insa
24.04.2018;31,5 %;18 %;12 %;9,5 %;10,5 %;–;–;15,5 %;3 %;O • 2.091;20.04.–23.04.;insa
17.04.2018;31,5 %;18,5 %;11,5 %;9 %;11 %;–;–;15 %;3,5 %;O • 2.054;13.04.–16.04.;insa
10.04.2018;31,5 %;17,5 %;11,5 %;9 %;12 %;–;–;15,5 %;3 %;O • 2.048;06.04.–09.04.;insa
03.04.2018;32 %;18 %;10 %;10 %;12 %;–;–;15 %;3 %;O • 1.074;29.03.–31.03.;insa
26.03.2018;32,5 %;17 %;10,5 %;10 %;12 %;–;–;15 %;3 %;O • 2.051;23.03.–26.03.;insa
20.03.2018;32 %;17,5 %;10,5 %;10 %;12 %;–;–;15 %;3 %;O • 2.066;16.03.–19.03.;insa
13.03.2018;32 %;17,5 %;11 %;9,5 %;12 %;–;–;15 %;3 %;O • 2.033;09.03.–12.03.;insa
05.03.2018;33 %;15 %;12 %;10 %;12 %;–;–;15 %;3 %;O • 1.052;05.03.;insa
26.02.2018;32,5 %;15,5 %;12 %;9 %;12 %;–;–;16 %;3 %;O • 1.063;23.02.–26.02.;insa
19.02.2018;32 %;15,5 %;13 %;9 %;11 %;–;–;16 %;3,5 %;O • 2.040;16.02.–19.02.;insa
12.02.2018;29,5 %;16,5 %;13 %;10,5 %;11,5 %;–;–;15 %;4 %;O • 2.608;09.02.–12.02.;insa
05.02.2018;30,5 %;17 %;12,5 %;10 %;11 %;–;–;15 %;4 %;O • 2.034;02.02.–05.02.;insa
29.01.2018;33,5 %;17,5 %;11 %;9 %;11 %;–;–;14 %;4 %;O • 2.073;26.01.–29.01.;insa
23.01.2018;31,5 %;18 %;10 %;10 %;11 %;–;–;14 %;5,5 %;O • 1.169;22.01.;insa
15.01.2018;31,5 %;18,5 %;10 %;9,5 %;11,5 %;–;–;14 %;5 %;O • 2.000;12.01.–15.01.;insa
08.01.2018;31,5 %;19,5 %;10 %;10 %;11 %;–;–;13,5 %;4,5 %;O • 2.028;05.01.–08.01.;insa
02.01.2018;32,5 %;19,5 %;10 %;10 %;11 %;–;–;13 %;4 %;O • 2.012;29.12.–02.01.;insa
23.12.2017;33 %;20,5 %;9,5 %;10,5 %;10 %;–;–;13 %;3,5 %;O • 2.203;21.12.–22.12.;insa
19.12.2017;31 %;21 %;10 %;9 %;11 %;–;–;14 %;4 %;O • 2.031;15.12.–18.12.;insa
12.12.2017;31 %;22 %;10,5 %;9 %;10,5 %;–;–;13,5 %;3,5 %;O • 2.013;08.12.–11.12.;insa
05.12.2017;31 %;22 %;10 %;10 %;11 %;–;–;13 %;3 %;O • 2.063;01.12.–04.12.;insa
27.11.2017;32 %;22 %;10 %;10 %;10 %;–;–;13 %;3 %;O • 2.003;24.11.–27.11.;insa
23.11.2017;32 %;21 %;10 %;12 %;10 %;–;–;12 %;3 %;O • 1.069;21.11.–22.11.;insa
21.11.2017;30 %;21 %;10 %;11 %;11 %;–;–;14 %;3 %;O • 1.034;20.11.;insa
21.11.2017;31 %;21 %;9,5 %;10 %;11,5 %;–;–;14 %;3 %;O • 2.027;17.11.–19.11.;insa
14.11.2017;32 %;20 %;9 %;10,5 %;10,5 %;–;–;13,5 %;4,5 %;O • 2.049;10.11.–13.11.;insa
07.11.2017;31 %;22 %;8,5 %;10,5 %;10,5 %;–;–;13,5 %;4 %;O • 2.023;03.11.–06.11.;insa
30.10.2017;31 %;21 %;10 %;11 %;10 %;–;–;13 %;4 %;O • 1.024;27.10.–28.10.;insa
24.10.2017;33 %;21 %;9 %;10 %;10 %;–;–;13 %;4 %;O • 1.002;23.10.–23.10.;insa
16.10.2017;32 %;21,5 %;9,5 %;10 %;9 %;–;–;13 %;5 %;O • 2.011;13.10.–16.10.;insa
10.10.2017;32 %;22 %;9 %;11 %;9 %;–;–;13 %;4 %;O • 2.015;06.10.–09.10.;insa
01.10.2017;31 %;21 %;10 %;12 %;9 %;–;–;13 %;4 %;O • 1.071;27.09.–28.09.;insa
22.09.2017;34 %;21 %;8 %;9 %;11 %;–;–;13 %;4 %;O • 2.000;21.09.–22.09.;insa
18.09.2017;36 %;22 %;7 %;9 %;11 %;–;–;11 %;4 %;O • 2.042;15.09.–18.09.;insa
11.09.2017;36,5 %;23,5 %;6 %;9 %;10,5 %;–;–;11 %;3,5 %;O • 2.054;08.09.–11.09.;insa
04.09.2017;36,5 %;23,5 %;6,5 %;8,5 %;10 %;–;–;10,5 %;4,5 %;O • 2.048;01.09.–04.09.;insa
29.08.2017;37 %;24 %;6,5 %;8 %;10 %;–;–;10 %;4,5 %;O • 2.034;25.08.–28.08.;insa
22.08.2017;38 %;24 %;7 %;9 %;9 %;–;–;10 %;3 %;O • 2.036;18.08.–21.08.;insa
15.08.2017;37 %;25 %;7 %;9 %;9 %;–;–;10 %;3 %;O • 2.025;11.08.–14.08.;insa
07.08.2017;37 %;25 %;6,5 %;9 %;10,5 %;–;–;9 %;3 %;O • 2.046;04.08.–07.08.;insa
01.08.2017;37 %;24,5 %;7 %;9 %;10 %;–;–;9,5 %;3 %;O • 2.046;28.07.–31.07.;insa
25.07.2017;37,5 %;25 %;6,5 %;8,5 %;10,5 %;–;–;9 %;3 %;O • 2.009;21.07.–24.07.;insa
18.07.2017;36;25 %;6,5 %;8,5 %;9,5 %;–;–;10 %;4,5 %;O • 2.026;14.07.–17.07.;insa
10.07.2017;36;25 %;6,5 %;9 %;9,5 %;–;–;9,5 %;4,5 %;O • 2.009;07.07.–10.07.;insa
03.07.2017;36,5;25 %;6,5 %;9 %;10,5 %;–;–;9 %;3,5 %;O • 2.044;30.06.–03.07.;insa
27.06.2017;37;26 %;6,5 %;9 %;10 %;–;–;8,5 %;3 %;O • 2.056;23.06.–26.06.;insa
20.06.2017;36,5;25 %;6,5 %;9 %;11 %;–;–;9 %;3 %;O • 2.040;16.06.–19.06.;insa
12.06.2017;37,5;23,5 %;6,5 %;9 %;11 %;–;–;9 %;3,5 %;O • 2.051;09.06.–12.06.;insa
06.06.2017;38;23 %;7 %;9 %;11 %;–;–;8 %;4 %;O • 2.037;02.06.–06.06.;insa
29.05.2017;35,5;26 %;6 %;10 %;10 %;–;–;9 %;3,5 %;O • 2.053;26.05.–29.05.;insa
22.05.2017;36,5 %;26 %;6 %;9,5 %;10 %;–;–;8 %;4 %;O • 2.042;19.05.–22.05.;insa
16.05.2017;36 %;27 %;6 %;8 %;9 %;–;–;10 %;4 %;O • 2.037;12.05.–15.05.;insa
09.05.2017;35 %;27 %;7 %;7 %;10 %;–;–;10 %;4 %;O • 2.067;05.05.–08.05.;insa
02.05.2017;34 %;28,5 %;6,5 %;7 %;10,5 %;–;–;9 %;4,5 %;O • 2.035;28.04.–02.05.;insa
25.04.2017;34 %;30 %;6,5 %;6,5 %;9,5 %;–;–;10 %;3,5 %;O • 2.041;21.04.–24.04.;insa
19.04.2017;34 %;30,5 %;6 %;6,5 %;9 %;–;–;10 %;4 %;O • 2.038;14.04.–18.04.;insa
10.04.2017;33 %;31,5 %;6,5 %;6,5 %;8,5 %;–;–;10 %;4 %;O • 2.030;07.04.–10.04.;insa
03.04.2017;32 %;32,5 %;6,5 %;6,5 %;9 %;–;–;9 %;4,5 %;O • 2.033;31.03.–03.04.;insa
27.03.2017;32 %;32 %;6,5 %;6 %;8,5 %;–;–;11 %;4 %;O • 2.034;24.03.–27.03.;insa
20.03.2017;31 %;32 %;6,5 %;6,5 %;8,5 %;–;–;11,5 %;4 %;O • 1.933;17.03.–20.03.;insa
13.03.2017;31 %;31 %;6,5 %;7 %;8,5 %;–;–;11,5 %;4,5 %;O • 2.051;10.03.–13.03.;insa
07.03.2017;30,5 %;31,5 %;6,5 %;7,5 %;8,5 %;–;–;11 %;4,5 %;O • 2.022;03.03.–06.03.;insa
28.02.2017;30,5 %;32 %;6,5 %;7 %;8 %;–;–;11 %;5 %;O • 2.004;24.02.–27.02.;insa
21.02.2017;31,5 %;30 %;6,5 %;5,5 %;9,5 %;–;–;11 %;6 %;O • 2.030;17.02.–20.02.;insa
13.02.2017;30 %;31 %;7 %;5 %;10 %;–;–;12 %;5 %;O • 2.028;10.02.–13.02.;insa
06.02.2017;30 %;31 %;7 %;6 %;10 %;–;–;12 %;4 %;O • 2.042;03.02.–06.02.;insa
30.01.2017;32,5 %;26 %;7,5 %;6,5 %;10,5 %;–;–;13 %;4 %;O • 2.088;27.01.–30.01.;insa
23.01.2017;32,5 %;21 %;8,5 %;7,5 %;11 %;–;–;14,5 %;5 %;O • 1.992;20.01.–23.01.;insa
17.01.2017;33,5 %;21 %;8,5 %;7,5 %;11 %;–;–;13,5 %;5 %;O • 2.031;13.01.–16.01.;insa
09.01.2017;32 %;21 %;9 %;7 %;11 %;–;–;15 %;5 %;O • 2.054;06.01.–09.01.;insa
03.01.2017;32 %;21 %;10 %;6 %;11,5 %;–;–;15 %;4,5 %;O • 2.099;30.12.–02.01.;insa
23.12.2016;31,5 %;20,5 %;10 %;6 %;11,5 %;–;–;15,5 %;5 %;O • 2.083;21.12.–23.12.;insa
20.12.2016;33 %;21,5 %;10 %;6,5 %;11,5 %;–;–;13 %;4,5 %;O • 2.116;16.12.–19.12.;insa
13.12.2016;32 %;21,5 %;11,5 %;5,5 %;12 %;–;–;13 %;4,5 %;O • 1.455;09.12.–12.12.;insa
06.12.2016;32 %;22,5 %;10,5 %;5 %;11,5 %;–;–;14 %;4,5 %;O • 2.080;02.12.–05.12.;insa
28.11.2016;32,5 %;22 %;10 %;5,5 %;11,5 %;–;–;13,5 %;5 %;O • 2.097;25.11.–28.11.;insa
22.11.2016;31,5 %;22 %;10,5 %;5,5 %;10,5 %;–;–;15 %;5 %;O • 2.030;18.11.–21.11.;insa
14.11.2016;30 %;22,5 %;10,5 %;6,5 %;11,5 %;–;–;14,5 %;4,5 %;O • 2.037;11.11.–14.11.;insa
08.11.2016;30,5 %;22 %;11 %;7 %;10,5 %;–;–;13,5 %;5,5 %;O • 2.045;04.11.–07.11.;insa
02.11.2016;30,5 %;22,5 %;11 %;6,5 %;11,5 %;–;–;13 %;5 %;O • 2.037;28.10.–02.11.;insa
25.10.2016;30,5 %;22,5 %;11,5 %;6 %;11,5 %;–;–;14 %;4 %;O • 2.043;21.10.–24.10.;insa
18.10.2016;29,5 %;21,5 %;12 %;6,5 %;12,5 %;–;–;13,5 %;4,5 %;O • 2.077;14.10.–17.10.;insa
10.10.2016;29,5 %;22 %;11 %;6,5 %;12 %;–;–;15 %;4 %;O • 2.085;07.10.–10.10.;insa
05.10.2016;30 %;21 %;11,5 %;7 %;11,5 %;–;–;15 %;4 %;O • 2.049;30.09.–03.10.;insa
27.09.2016;30 %;21 %;10 %;7 %;11 %;–;–;15,5 %;5,5 %;O • 2.048;23.09.–26.09.;insa
19.09.2016;30 %;22 %;11 %;7 %;10 %;–;–;15 %;5 %;O • 2.069;16.09.–19.09.;insa
13.09.2016;30,5 %;21,5 %;11 %;7 %;10 %;–;–;15 %;5 %;O • 2.035;09.09.–12.09.;insa
05.09.2016;30,5 %;21,5 %;11,5 %;6,5 %;9,5 %;–;–;15 %;5,5 %;O • 2.071;02.09.–05.09.;insa
30.08.2016;30,5 %;21 %;11,5 %;7 %;10,5 %;–;–;14,5 %;5 %;O • 2.013;26.08.–29.08.;insa
23.08.2016;31 %;21 %;11,5 %;6,5 %;10,5 %;–;–;14 %;5,5 %;O • 2.020;19.08.–22.08.;insa
16.08.2016;31 %;20,5 %;11 %;7 %;11,5 %;–;–;13,5 %;5,5 %;O • 2.046;12.08.–15.08.;insa
09.08.2016;31,5 %;21 %;11,5 %;6,5 %;11,5 %;–;–;13 %;5 %;O • 2.056;05.08.–08.08.;insa
02.08.2016;31,5 %;21 %;11 %;6,5 %;11 %;–;–;13 %;6 %;O • 1.973;30.07.–01.08.;insa
26.07.2016;31,5 %;21,5 %;12 %;6,5 %;11,5 %;–;–;12 %;5 %;O • 2.049;22.07.–25.07.;insa
19.07.2016;32 %;21 %;12 %;7 %;11,5 %;–;–;11 %;5,5 %;O • 2.038;15.07.–18.07.;insa
11.07.2016;31 %;20,5 %;12 %;7,5 %;11 %;–;–;12,5 %;5,5 %;O • 2.034;08.07.–11.07.;insa
04.07.2016;30 %;21 %;12 %;8 %;10 %;–;–;14,5 %;4,5 %;O • 2.001;01.07.–04.07.;insa
27.06.2016;30 %;19 %;13 %;8 %;11 %;–;–;14 %;5 %;O • 2.054;24.06.–27.06.;insa
20.06.2016;31 %;20 %;13 %;7 %;11 %;–;–;13 %;5 %;O • 2.017;17.06.–20.06.;insa
13.06.2016;30 %;19,5 %;12 %;8 %;11 %;–;–;14 %;5,5 %;O • 2.047;10.06.–13.06.;insa
06.06.2016;30 %;19 %;13 %;8 %;10,5 %;–;–;14 %;5,5 %;O • 2.032;03.06.–06.06.;insa
31.05.2016;30 %;19 %;13 %;8 %;9,5 %;–;–;15 %;5,5 %;O • 2.053;25.05.–30.05.;insa
23.05.2016;30,5 %;19,5 %;13 %;7 %;10 %;–;–;15 %;5 %;O • 2.022;20.05.–23.05.;insa
17.05.2016;30,5 %;19,5 %;13 %;7,5 %;10,5 %;–;–;15 %;4 %;O • 1.947;13.05.–17.05.;insa
09.05.2016;30,5 %;19,5 %;13 %;8 %;10 %;–;–;15 %;4 %;O • 2.048;04.05.–09.05.;insa
02.05.2016;32 %;19,5 %;13 %;8 %;10 %;–;–;13,5 %;4 %;O • 2.036;29.04.–02.05.;insa
25.04.2016;31 %;19,5 %;14 %;8 %;10 %;–;–;13,5 %;4 %;O • 2.054;22.04.–25.04.;insa
18.04.2016;31,5 %;19,5 %;13 %;7 %;9,5 %;–;–;13,5 %;6 %;O • 2.010;16.04.–18.04.;insa
11.04.2016;31,5 %;19,5 %;13,5 %;7,5 %;9,5 %;–;–;12,5 %;6 %;O • 1.997;08.04.–11.04.;insa
04.04.2016;32 %;20 %;12,5 %;7,5 %;9 %;–;–;13 %;6 %;O • 2.036;01.04.–04.04.;insa
29.03.2016;32 %;20 %;12,5 %;6 %;11 %;–;–;13 %;5,5 %;O • 1.873;24.03.–29.03.;insa
21.03.2016;33 %;22 %;11 %;7 %;10,5 %;–;–;12 %;4,5 %;O • 2.022;18.03.–21.03.;insa
14.03.2016;32 %;22 %;10 %;6,5 %;11 %;–;–;13 %;5,5 %;O • 2.004;11.03.–14.03.;insa
08.03.2016;32,5 %;23 %;11 %;6,5 %;10 %;–;–;11,5 %;5,5 %;O • 2.011;04.03.–07.03.;insa
29.02.2016;32,5 %;23 %;11 %;6,5 %;11 %;–;–;11,5 %;4,5 %;O • 2.007;26.02.–29.02.;insa
22.02.2016;32,5 %;22,5 %;10,5 %;6,5 %;10 %;–;–;12,5 %;5,5 %;O • 2.001;19.02.–22.02.;insa
15.02.2016;32,5 %;22,5 %;11 %;7 %;9,5 %;–;–;12,5 %;5 %;O • 2.014;12.02.–15.02.;insa
09.02.2016;32,5 %;22 %;11 %;6 %;10,5 %;–;–;12 %;6 %;O • 2.054;05.02.–09.02.;insa
01.02.2016;33 %;23 %;10 %;6 %;10 %;–;–;12,5 %;5,5 %;O • 2.007;29.01.–01.02.;insa
25.01.2016;32,5 %;23 %;10 %;6 %;9 %;–;–;13 %;6,5 %;O • 2.047;22.01.–25.01.;insa
18.01.2016;32,5 %;22,5 %;9,5 %;6,5 %;10 %;–;–;12,5 %;6,5 %;O • 2.051;15.01.–18.01.;insa
11.01.2016;35 %;21,5 %;10 %;6 %;10 %;–;–;11,5 %;6 %;O • 2.039;08.01.–11.01.;insa
04.01.2016;36 %;22,5 %;10 %;5 %;10 %;–;–;9,5 %;7 %;O • 2.022;30.12.–04.01.;insa
21.12.2015;35,5 %;23 %;9,5 %;6 %;11 %;–;–;9,5 %;5,5 %;O • 2.066;18.12.–21.12.;insa
14.12.2015;35 %;23,5 %;9 %;5,5 %;10 %;–;–;10 %;7 %;O • 2.030;11.12.–14.12.;insa
08.12.2015;35 %;23,5 %;9,5 %;6 %;9,5 %;–;–;10 %;6,5 %;O • 2.012;04.12.–07.12.;insa
30.11.2015;34,5 %;23,5 %;9,5 %;5,5 %;9,5 %;–;–;10,5 %;7 %;O • 2.016;27.11.–30.11.;insa
23.11.2015;34,5 %;23 %;9 %;6 %;10,5 %;–;–;10 %;7 %;O • 2.025;20.11.–23.11.;insa
16.11.2015;35 %;23,5 %;10 %;5 %;10 %;–;–;10,5 %;6 %;O • 2.057;13.11.–16.11.;insa
